budget,days,vibe,destination,latitude,longitude
2000,2,Beach,Varkala,8.7338,76.7116
1500,1,Backwaters,Alappuzha,9.4981,76.3388
5000,3,Hill Station,Munnar,10.0889,77.0595
3000,2,Wildlife,Thekkady,9.5333,77.2000
1000,1,Historical,Fort Kochi,9.9658,76.2421
4500,3,Beach,Kovalam,8.4021,76.9784
6000,4,Hill Station,Wayanad,11.6854,76.1320
2500,2,Backwaters,Kumarakom,9.5928,76.4227
1200,1,Waterfall,Athirappilly,10.2740,76.5491
3500,3,Wildlife,Parambikulam,10.3923,76.7752
1800,2,Beach,Cherai,10.1416,76.1783
5500,4,Hill Station,Vagamon,9.6869,76.9048
2200,2,Backwaters,Kollam,8.8932,76.6141
4000,3,Adventure,Jatayu Earth Center,8.8876,76.8677
1300,1,Historical,Bekal Fort,12.3934,75.0345
2800,2,Waterfall,Vazhachal,10.2994,76.5654
3200,3,Pilgrimage,Sabarimala,9.4404,77.0819
1100,1,Beach,Marari,9.6014,76.2996
4800,3,Wildlife,Eravikulam,10.1500,77.0833
6500,5,Hill Station,Ponmudi,8.7600,77.1167
1600,1,Backwaters,Kuttanad,9.4333,76.4000
2400,2,Historical,Thalassery Fort,11.7479,75.4947
3800,3,Adventure,Idukki Dam,9.8441,76.9725
1400,2,Pilgrimage,Guruvayur,10.5946,76.0381
5200,4,Hill Station,Peerumedu,9.5694,77.0222
2100,2,Beach,Kozhikode Kappad,11.3854,75.7202
2700,2,Waterfall,Meenmutty,11.6192,76.2308
3300,3,Wildlife,Wayanad Sanctuary,11.6667,76.3667
1250,1,Historical,Hill Palace Tripunithura,9.9531,76.3533
4200,3,Backwaters,Valiyaparamba,12.1154,75.1481
5800,4,Adventure,Gavi,9.4394,77.1656
1900,2,Beach,Payyambalam,11.8741,75.3512
2300,2,Pilgrimage,Padmanabhaswamy Temple,8.4831,76.9436
3100,3,Waterfall,Soochipara,11.5119,76.1625
4600,3,Hill Station,Ranipuram,12.4277,75.3536
1350,1,Beach,Muzhappilangad Drive-in,11.7925,75.4497
2900,2,Wildlife,Chinnar Wildlife Sanctuary,10.3506,77.2158
3600,3,Backwaters,Ashtamudi,8.9500,76.5833
1700,1,Waterfall,Thommankuthu,9.9567,76.8322
5000,4,Adventure,Illikkal Kallu,9.6644,76.8344
7000,5,Hill Station,Nelliyampathy,10.5342,76.6936
2600,2,Backwaters,Kavvayi Islands,12.0833,75.1667
3400,3,Adventure,Paithalmala,12.0998,75.6568
1150,1,Beach,Nattika,10.4144,76.0967
1550,2,Pilgrimage,Malayattoor Church,10.1978,76.5161
4100,3,Wildlife,Muthanga,11.6694,76.3667
2450,2,Waterfall,Palaruvi,8.9103,77.1625
1050,1,Historical,Palakkad Fort,10.7663,76.6553
4300,3,Hill Station,Malakkappara,10.2831,76.8342
6200,4,Adventure,Anamudi Shola,10.1667,77.2000
2150,2,Beach,Chavakkad,10.5892,76.0222
3700,3,Backwaters,Sasthamkotta Lake,9.0433,76.6342
1450,1,Historical,Arakkal Museum,11.8614,75.3736
3050,2,Waterfall,Cheeyappara,10.0278,76.9403
4900,4,Hill Station,Ramakkalmedu,9.8000,77.2500
2250,2,Pilgrimage,Chottanikkara Temple,9.9328,76.3908
3250,3,Wildlife,Neyyar Sanctuary,8.5333,77.1500
1650,1,Beach,Alappuzha Beach,9.4925,76.3197
5300,4,Backwaters,Pathiramanal Island,9.6178,76.3881
3900,3,Adventure,Meenmutty Heights,11.6150,76.2344
1380,1,Historical,Kottapuram Fort,10.1989,76.1978
2750,2,Waterfall,Power House Waterfalls,10.0478,77.1231
5600,4,Hill Station,Kanthalloor,10.2319,77.1814
1850,2,Pilgrimage,Ambalappuzha Temple,9.3828,76.3639
3150,3,Wildlife,Peechi-Vazhani,10.5333,76.3833
1280,1,Beach,Snehatheeram,10.4211,76.0953
4400,3,Backwaters,Monroe Island,8.9914,76.6136
6100,5,Adventure,Chembra Peak,11.5458,76.0886
2350,2,Historical,Poonjar Palace,9.6769,76.8122
2950,2,Waterfall,Valara Falls,10.0167,76.9167
6800,5,Hill Station,Vythiri,11.5544,76.0425
1750,2,Pilgrimage,Mannarasala Temple,9.2661,76.5186
3350,3,Wildlife,Shendurney Sanctuary,8.9167,77.1167
1420,1,Beach,Beypore,11.1611,75.8047
4700,3,Adventure,Ilaveezhapoonchira,9.7833,76.8000
5400,4,Backwaters,Poovar Island,8.3181,77.0678
1950,2,Historical,Mattancherry Palace,9.9592,76.2592
2850,2,Waterfall,Kanthanpara,11.5528,76.1683
5100,4,Hill Station,Lakkidi,11.5178,76.0225
1620,1,Pilgrimage,Beemapally Mosque,8.4553,76.9328
3550,3,Wildlife,Thattekad Bird Sanctuary,10.1167,76.7000
1180,1,Beach,Thikkoti Lighthouse,11.4783,75.6264
4250,3,Adventure,Kadavanthra Water Sports,9.9650,76.2950
5700,4,Hill Station,Marayoor,10.2694,77.1611
2050,2,Backwaters,Vembanad Lake,9.5833,76.4167
1320,1,Historical,Kizhunna Beach Fort,11.8211,75.4344
2650,2,Waterfall,Dhoni Waterfalls,10.8333,76.6333
3450,3,Pilgrimage,Aranmula Temple,9.3306,76.6858
4950,4,Wildlife,Aralam Sanctuary,11.9500,75.8333
1480,1,Beach,Shankumugham Beach,8.4797,76.9114
4650,3,Adventure,Kottancheri Hills,12.3167,75.3833
6300,4,Hill Station,Ambanad Hills,9.0333,77.0833
2380,2,Backwaters,Kumbalangi,9.9000,76.2833
1220,1,Historical,St. Angelo Fort,11.8544,75.3683
3020,2,Waterfall,Marmala Waterfall,9.6544,76.8403
3850,3,Pilgrimage,Vaikom Temple,9.7469,76.3958
5150,4,Wildlife,Mangalavanam Bird Sanctuary,9.9886,76.2731
1520,1,Beach,Kappil Beach,8.7778,76.6711
5450,4,Adventure,Vellarimala,11.4667,76.1333
6000,5,Hill Station,Kurisumala,9.6642,76.8925
